Index,Product_URL,Author,Shop,Rating,Used_Time,Comment
1,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Quang,ĐMX,3,1 năm,"Quat gì vừa hết bảo hành là hư cảm ứng với điều khiển, mắc nhờ thợ sửa hết 130k"
2,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Đào Hoàng Vũ,ĐMX,1,1 ngày,"Quạt vừa giao mà móp, bể, ốc thì vặn tè le, bỏ vài triệu để nhận cái đồ bể"
3,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Bùi Thị Thắm,ĐMX,1,8 tháng,Tôi rất không hài lòng về sản phẩm nàyTôi đã BH đến 3L nhưng chưa khắc phục được tình trạng lỗi.Lần 1 Bị lỗi bảng điện tửLần 2 Máy không bơm nướcLần 3 Bong keo bảng điện tử tiếpTôi rất không hài lòngVì Lần 3 nay lẻ ra giao máy cho tôi phải kiểm tra ok hết rồi hả trả về cho tôi. Đằng này giao lại cho tôi vẫn trong hiện trạng bị bong keo trên bảng điều khiển. Tôi rất hối hận khi mua sản phẩm này chất lượng quá tệ.
4,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Hoang Trọng Phuoc,ĐMX,2,8 tháng,Mua xài chưa được bao lâu hư bơm nuoc.bao hành thì phai mạng quạt tận nua tháng
5,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Phạm Bảo Thiện,ĐMX,3,6 tháng,"Quạt mua về sài đc máy tháng bị hư boem nước . Đã liên hệ cửa hàng gửi sửa bảo hành, về sài đc 2 tháng lại hư bơm nước tiếp"
6,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Hiếu,ĐMX,1,1 năm,Vừa hết bảo hành là liệt hết nút bấm cả điều khiển
7,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Nguyễn Bảo Hà,ĐMX,1,1 tháng,Mua mới hơn tháng đã lỗi cảm ứng
8,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Ngộ,ĐMX,2,6 tháng,"Chưa được 6 tháng là bị hư, máy ko bơm nước được"
9,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Khanh,ĐMX,1,1 tháng,"ĐỔI 4 lần, sản phẩm siêu tệ, lỗi cả lô hàng."
10,https://www.dienmayxanh.com/quat-dieu-hoa/ava-rpd-80,Linh,ĐMX,1,1 tuần,"bị chảy nước đằng trước, nhờ bh mà hỗ trợ rất lâu, giờ vẫn chưa được xử lý"
