source,appid,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,2608050,188321727,english,2025-02-20T07:42:23+00:00,2025-02-20T07:42:23+00:00,True,6,1,0,0.609987199306488037,,False,False,,Relaxing game with good music and achievements.  More than half my time played was spent trying to find the last cat (#54).,76561197962838085,4574,18,22,0,22,2025-02-20T07:37:44+00:00
steam,2608050,199361807,english,2025-07-09T11:29:34+00:00,2025-07-09T11:30:03+00:00,True,4,0,0,0.573643386363983154,,False,False,,"[h3]When I bought it, I never imagined it would be a legitimate way to unlock 100 achievements. [/h3] Once I realized that, I didn't want to keep going. I felt like I'd be cheating myself—like those achievements wouldn't represent real effort anymore.
[i]What will others think when they see I played this? They won't know how hard I worked for the tough ones in my favorite games.  [/i]
That’s when it hit me: [b]achievements don’t matter that much.[/b] With games like this—and tools like SAM—having thousands of them only means something to the person who earned them, and knows how.
Letting go of their value frees me to just enjoy the game. No pressure. No checklist.
[i]And if I want to replay something?[/i] I’ll just do it. Whether I’m at 100% or not, or whether I go back just because I liked it. [b]That’s what I learned thanks to this game. [/b]
[spoiler]Although honestly? It sucks. It was nice looking for kittens though. [/spoiler]",76561199016900831,112,27,15,0,12,2025-07-09T23:07:26+00:00
steam,2608050,188181848,english,2025-02-18T10:54:36+00:00,2025-02-18T10:54:36+00:00,True,1,0,0,0.525862038135528564,,False,False,,"I love these style of games but some are great and others not so much. Thankfully this series of games is the former, its simple yet effective, and the art style is great as well. If you like finding cats then this game is for you, more so if you have an affinity with Christmassyness.",76561198055015198,636,878,15,0,15,2024-01-09T11:52:01+00:00
steam,2608050,195587278,english,2025-05-25T00:33:21+00:00,2025-05-25T00:33:43+00:00,True,2,2,0,0.523969173431396484,,False,False,,"[h1]Meow:3[/h1]

Wow, I've played many similar games, but never found one cuter than this.

[b]Here we have:[/b][list]
[*]A hundred cats.
[*]Night mode.
[*]New Year's atmosphere.
[*]Tons of interactive elements - summon Santa, listen to Christmas carols and even watch fireworks!
[*]Plus there's a second level, so that's 200 cats in total!!!
[/list]
And since this game is completely free, I wish every Steam user will try it! A very kind and cute game.

[code]If you read the review and liked it, don't forget to give it a thumbsup;)[h3][i]The further - The better♥️[/i][/h3][/code]",76561198310862754,2457,1627,69,0,8,2025-05-26T15:24:25+00:00
steam,2608050,207850711,english,2025-10-29T05:55:32+00:00,2025-10-29T05:55:32+00:00,True,1,0,0,0.523809552192687988,,False,False,,"[h3] Cats Hidden in Jingle Jam - A Positive Review [/h3]

[h3] What To Expect? [/h3]
It's a hidden object game in which you'll have to find a hundred hidden cats in a festive themed level. There's also an extra level in which you can find a hundred more cats. Expect a few minutes of gameplay.

[h3] Visuals, Audio and Performance [/h3]
It's a simple hand-drawn Hidden Object game with festive attributes. For audio, it has cheerful music playing. For performance, it should run on any computer and I didn't run into bugs.

[h3] My Recommendations [/h3]
If you're into hidden object games then this may be for you, I would recommend it to everyone. Also, check out the other games from this developer!",76561198855366197,175,27,21,0,21,2025-07-13T12:03:31+00:00
steam,2608050,203056520,english,2025-08-28T16:20:46+00:00,2025-08-28T16:21:01+00:00,True,1,0,0,0.523809552192687988,,False,False,,"Cats Hidden in Jingle Jam Is A Really Nice And Short Game. Just like the title says, there are 100 cats, and all you have to do is find them! Just like in the pictures on the store page, there is a Christmas scenery where you have to find those cats. All you have to do is click on the cat, and then you have officially found 1 cat of the 100. The cats turn blue when you find them, so you know which cats you have already found. The art for this game looks really good, and the cats really blend into the Christmas background. Overall, this is a really nice and short game to play for a few minutes.",76561199081321287,126,46,7,0,7,2024-06-13T03:23:13+00:00
steam,2608050,199662170,english,2025-07-13T00:42:56+00:00,2025-07-13T00:42:56+00:00,True,1,0,0,0.523809552192687988,,False,False,,"Preatty stress free game, not bad, for a good distracion. recomended",76561198075851450,848,37,59,0,59,2025-07-13T00:40:37+00:00
steam,2608050,212880428,english,2025-12-08T23:04:06+00:00,2025-12-09T00:47:53+00:00,True,1,0,0,0.52173912525177002,,False,False,,"Put on your Jingle Jammies (tm) and prepare to find the cats hidden in the jingle jam. The orange cats hidden in the orange marmalade is a particularly tough section, and the black cats hidden in the blackberry jam gave me a run for my money. 14 sweet, fruity, festive minutes well spent.

Of course, this game has nothing to do with jams, jellies, or marmalades, I'm just a dork.
It is, however, worth playing if you're looking for a bit of xmas-themed cat-finding fun.

Sorry if I got you hangry for some toast and jam (not sorry).",76561199012625095,268,322,14,0,14,2025-12-08T22:57:40+00:00
steam,2608050,193732458,english,2025-04-27T19:52:06+00:00,2025-04-27T19:52:06+00:00,True,1,0,0,0.52173912525177002,,False,False,,Great game to just calm down. I had a lot of stress just now and then remebered I had this in my library. Absoluty amazing on bringing me back to earth. I love that every cat has its own name,76561198895406160,0,6,24,0,24,2025-04-27T19:49:14+00:00
steam,2608050,202558873,english,2025-08-21T02:39:50+00:00,2025-08-21T02:39:50+00:00,False,1,0,0,0.520547926425933838,,False,False,,"Forced ad at launch was not a great first impression (puts you in the Steam overlay).

The game (such as it is) took 6 minutes, one pass. Absolute torrent of achievements, the pop-ups for which annoying cover the bottom right corner and the cats that live there.

And at the 100th cat, the game crashed to desktop. If there was supposed to be some payoff, I didn't get to see it.",76561197961812854,4180,34,6,0,6,2025-08-21T02:35:15+00:00
